,date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
137,2020/3/4,18_64,188,,0,,,,,,,,,39,0,,,,,36139000
138,2020/3/4,65_84,26,,1,,,,,,,,,8,0,,,,,9316000
139,2020/3/4,85+,6,,2,,,,,,,,,0,0,,,,,1457000
140,2020/3/5,00_17,9,,0,,,,,,,,,2,0,,,,,10117000
141,2020/3/5,18_64,227,,1,,,,,,,,,39,1,,,,,36139000
142,2020/3/5,65_84,31,,3,,,,,,,,,5,2,,,,,9316000
143,2020/3/5,85+,6,,2,,,,,,,,,0,0,,,,,1457000
144,2020/3/6,00_17,15,,0,,,,,,,,,6,0,,,,,10117000
145,2020/3/6,18_64,283,,1,,,,,,,,,56,0,,,,,36139000
146,2020/3/6,65_84,41,,3,,,,,,,,,10,0,,,,,9316000
147,2020/3/6,85+,8,,2,,,,,,,,,2,0,,,,,1457000
148,2020/3/7,00_17,18,,0,,,,,,,,,3,0,,,,,10117000
149,2020/3/7,18_64,315,,1,,,,,,,,,32,0,,,,,36139000
150,2020/3/7,65_84,55,,3,,,,,,,,,14,0,,,,,9316000
151,2020/3/7,85+,8,,2,,,,,,,,,0,0,,,,,1457000
152,2020/3/8,00_17,18,,0,,,,,,,,,0,0,,,,,10117000
153,2020/3/8,18_64,354,,1,,,,,,,,,39,0,,,,,36139000
154,2020/3/8,65_84,63,,6,,,,,,,,,8,3,,,,,9316000
155,2020/3/8,85+,11,,2,,,,,,,,,3,0,,,,,1457000
156,2020/3/9,00_17,21,,0,,,,,,,,,3,0,,,,,10117000
157,2020/3/9,18_64,453,,2,,,,,,,,,99,1,,,,,36139000
158,2020/3/9,65_84,83,,10,,,,,,,,,20,4,,,,,9316000
159,2020/3/9,85+,16,,2,,,,,,,,,5,0,,,,,1457000
160,2020/3/10,00_17,31,,0,,,,,,,,,10,0,,,,,10117000
161,2020/3/10,18_64,600,,2,,,,,,,,,147,0,,,,,36139000
162,2020/3/10,65_84,137,,12,,,,,,,,,54,2,,,,,9316000
163,2020/3/10,85+,34,,3,,,,,,,,,18,1,,,,,1457000
164,2020/3/11,00_17,43,,0,,,,,,,,,12,0,,,,,10117000
165,2020/3/11,18_64,833,,5,,,,,,,,,233,3,,,,,36139000
166,2020/3/11,65_84,219,,15,,,,,,,,,82,3,,,,,9316000
167,2020/3/11,85+,65,,5,,,,,,,,,31,2,,,,,1457000
168,2020/3/12,00_17,54,,0,,,,,,,,,11,0,,,,,10117000
169,2020/3/12,18_64,1112,,6,,,,,,,,,279,1,,,,,36139000
170,2020/3/12,65_84,309,,19,,,,,,,,,90,4,,,,,9316000
171,2020/3/12,85+,105,,12,,,,,,,,,40,7,,,,,1457000
172,2020/3/13,00_17,59,,0,,,,,,,,,5,0,,,,,10117000
173,2020/3/13,18_64,1333,,6,,,,,,,,,221,0,,,,,36139000
174,2020/3/13,65_84,441,,26,,,,,,,,,132,7,,,,,9316000
175,2020/3/13,85+,145,,21,,,,,,,,,40,9,,,,,1457000
176,2020/3/14,00_17,66,,0,,,,,,,,,7,0,,,,,10117000
177,2020/3/14,18_64,1453,,10,,,,,,,,,120,4,,,,,36139000
178,2020/3/14,65_84,565,,35,,,,,,,,,124,9,,,,,9316000
179,2020/3/14,85+,208,,28,,,,,,,,,63,7,,,,,1457000
180,2020/3/15,00_17,74,,0,,,,,,,,,8,0,,,,,10117000
181,2020/3/15,18_64,1621,,14,,,,,,,,,168,4,,,,,36139000
182,2020/3/15,65_84,724,,54,,,,,,,,,159,19,,,,,9316000
183,2020/3/15,85+,270,,37,,,,,,,,,62,9,,,,,1457000
184,2020/3/16,00_17,83,,0,,,,,,,,,9,0,,,,,10117000
185,2020/3/16,18_64,1836,,19,,,,,,,,,215,5,,,,,36139000
186,2020/3/16,65_84,944,,77,,,,,,,,,220,23,,,,,9316000
187,2020/3/16,85+,375,,52,,,,,,,,,105,15,,,,,1457000
188,2020/3/17,00_17,94,,0,,,,,,,,,11,0,,,,,10117000
189,2020/3/17,18_64,2142,,24,,,,,,,,,306,5,,,,,36139000
190,2020/3/17,65_84,1191,,99,,,,,,,,,247,22,,,,,9316000
191,2020/3/17,85+,493,,76,,,,,,,,,118,24,,,,,1457000
192,2020/3/18,00_17,109,,1,,,,,,,,,15,1,,,,,10117000
193,2020/3/18,18_64,2566,,30,,,,,,,,,424,6,,,,,36139000
194,2020/3/18,65_84,1500,,128,,,,,,,,,309,29,,,,,9316000
195,2020/3/18,85+,654,,107,,,,,,,,,161,31,,,,,1457000
196,2020/3/19,00_17,124,9,1,,,,,,,,,15,0,,106,7,,10117000
197,2020/3/19,18_64,3023,171,41,,,,,,,,,457,11,,2636,121,,36139000
198,2020/3/19,65_84,1808,209,163,,,,,,,,,308,35,,1469,36,,9316000
199,2020/3/19,85+,806,97,127,,,,,,,,,152,20,,651,-34,,1457000
200,2020/3/20,00_17,143,17,1,,,,,,,,,19,0,8,115,15,,10117000
201,2020/3/20,18_64,3558,384,57,,,,,,,,,535,16,213,2919,308,,36139000
202,2020/3/20,65_84,2170,445,212,,,,,,,,,362,49,236,1570,211,,9316000
203,2020/3/20,85+,981,213,164,,,,,,,,,175,37,116,697,38,,1457000
204,2020/3/21,00_17,165,21,1,,,,,,,,,22,0,4,132,19,,10117000
205,2020/3/21,18_64,4031,618,74,,,,,,,,,473,17,234,3125,514,,36139000
206,2020/3/21,65_84,2535,695,268,,,,,,,,,365,56,250,1658,393,,9316000
207,2020/3/21,85+,1158,340,207,,,,,,,,,177,43,127,735,116,,1457000
208,2020/3/22,00_17,187,27,1,,,,,,,,,22,0,6,146,24,,10117000
209,2020/3/22,18_64,4562,856,93,,,,,,,,,531,19,238,3380,722,,36139000
210,2020/3/22,65_84,3010,1024,348,,,,,,,,,475,80,329,1771,627,,9316000
211,2020/3/22,85+,1343,469,261,,,,,,,,,185,54,129,778,185,,1457000
212,2020/3/23,00_17,235,39,1,,,,,,,,,48,0,12,179,36,,10117000
213,2020/3/23,18_64,5476,1200,118,,,,,,,,,914,25,344,3884,1024,,36139000
214,2020/3/23,65_84,3706,1471,439,,,,,,,,,696,91,447,1970,961,,9316000
215,2020/3/23,85+,1696,650,318,,,,,,,,,353,57,181,924,301,,1457000
216,2020/3/24,00_17,274,60,2,,,,,,,,,39,1,21,194,55,,10117000
217,2020/3/24,18_64,6416,1613,139,,,,,,,,,940,21,413,4344,1397,,36139000
218,2020/3/24,65_84,4426,2041,558,,,,,,,,,720,119,570,2068,1385,,9316000
219,2020/3/24,85+,2030,921,396,,,,,,,,,334,78,271,964,481,,1457000
220,2020/3/25,00_17,317,83,2,,,,,,,,,43,0,23,211,77,,10117000
221,2020/3/25,18_64,7449,2162,178,,,,,,,,,1033,39,549,4754,1881,,36139000
222,2020/3/25,65_84,5251,2731,710,,,,,,,,,825,152,690,2144,1890,,9316000
223,2020/3/25,85+,2406,1227,483,,,,,,,,,376,87,306,1007,685,,1457000
224,2020/3/26,00_17,356,100,3,,,,,,,,,39,1,17,230,92,,10117000
225,2020/3/26,18_64,8596,2692,220,,,,,,,,,1147,42,530,5290,2343,,36139000
226,2020/3/26,65_84,6224,3357,898,,,,,,,,,973,188,626,2422,2299,,9316000
227,2020/3/26,85+,2872,1525,590,,,,,,,,,466,107,298,1141,862,,1457000
228,2020/3/27,00_17,400,109,3,,,,,,,,,44,0,9,262,100,,10117000
229,2020/3/27,18_64,9762,3284,268,,,,,,,,,1166,48,592,5780,2859,,36139000
230,2020/3/27,65_84,7230,4116,1110,,,,,,,,,1006,212,759,2597,2810,,9316000
231,2020/3/27,85+,3311,1833,704,,,,,,,,,439,114,308,1241,1041,,1457000
232,2020/3/28,00_17,436,134,3,,,,,,,,,36,0,25,270,124,,10117000
233,2020/3/28,18_64,10830,3788,317,,,,,,,,,1068,49,504,6268,3290,,36139000
234,2020/3/28,65_84,8127,4831,1332,,,,,,,,,897,222,715,2715,3268,,9316000
235,2020/3/28,85+,3682,2152,817,,,,,,,,,371,113,319,1267,1232,,1457000
236,2020/3/29,00_17,465,164,4,,,,,,,,,29,1,30,267,152,,10117000
237,2020/3/29,18_64,11897,4424,376,,,,,,,,,1067,59,636,6623,3837,,36139000
238,2020/3/29,65_84,9109,5617,1594,,,,,,,,,982,262,786,2841,3755,,9316000
239,2020/3/29,85+,4048,2510,959,,,,,,,,,366,142,358,1248,1431,,1457000
240,2020/3/30,00_17,516,185,4,,,,,,,,,51,0,21,294,172,,10117000
241,2020/3/30,18_64,13521,5338,448,,,,,,,,,1624,72,914,7217,4635,,36139000
242,2020/3/30,65_84,10374,6784,1882,,,,,,,,,1265,288,1167,2849,4578,,9316000
243,2020/3/30,85+,4615,2995,1139,,,,,,,,,567,180,485,1290,1713,,1457000
244,2020/3/31,00_17,571,199,5,,,,,,,,,55,1,14,331,184,,10117000
245,2020/3/31,18_64,15345,6073,517,,,,,,,,,1824,69,735,8175,5266,,36139000
246,2020/3/31,65_84,11700,7748,2230,,,,,,,,,1326,348,964,3116,5149,,9316000
247,2020/3/31,85+,5213,3403,1325,,,,,,,,,598,186,408,1437,1915,,1457000
248,2020/4/1,00_17,638,220,5,,,,,,,,,67,0,21,372,204,,10117000
249,2020/4/1,18_64,17431,7086,607,,,,,,,,,2086,90,1013,9099,6141,,36139000
250,2020/4/1,65_84,13096,9017,2629,,,,,,,,,1396,399,1269,3143,5958,,9316000
251,2020/4/1,85+,5809,3901,1534,,,,,,,,,596,209,498,1493,2181,,1457000
252,2020/4/2,00_17,697,237,6,,,,,,,,,59,1,17,410,219,,10117000
253,2020/4/2,18_64,19586,8103,702,,,,,,,,,2155,95,1017,10084,7015,,36139000
254,2020/4/2,65_84,14371,10206,3020,,,,,,,,,1275,391,1189,3138,6700,,9316000
255,2020/4/2,85+,6403,4401,1779,,,,,,,,,594,245,500,1544,2412,,1457000
256,2020/4/3,00_17,756,259,7,,,,,,,,,59,1,22,443,239,,10117000
257,2020/4/3,18_64,21707,9022,793,,,,,,,,,2121,91,919,11134,7799,,36139000
258,2020/4/3,65_84,15709,11385,3435,,,,,,,,,1338,415,1179,3201,7407,,9316000
259,2020/4/3,85+,6981,4810,2015,,,,,,,,,578,236,409,1672,2565,,1457000
260,2020/4/4,00_17,809,272,9,,,,,,,,,53,2,13,479,250,,10117000
261,2020/4/4,18_64,23539,9946,902,,,,,,,,,1832,109,924,11911,8570,,36139000
262,2020/4/4,65_84,16782,12555,3894,,,,,,,,,1073,459,1170,3028,8063,,9316000
263,2020/4/4,85+,7420,5282,2284,,,,,,,,,439,269,472,1608,2746,,1457000
264,2020/4/5,00_17,849,301,9,,,,,,,,,40,0,29,487,277,,10117000
265,2020/4/5,18_64,25154,10878,1020,,,,,,,,,1615,118,932,12479,9340,,36139000
266,2020/4/5,65_84,17730,13649,4314,,,,,,,,,948,420,1094,2814,8685,,9316000
267,2020/4/5,85+,7908,5792,2575,,,,,,,,,488,291,510,1551,2941,,1457000
268,2020/4/6,00_17,913,329,9,,,,,,,,,64,0,28,518,304,,10117000
269,2020/4/6,18_64,27660,11788,1114,,,,,,,,,2506,94,910,13896,10112,,36139000
270,2020/4/6,65_84,18973,14791,4761,,,,,,,,,1243,447,1142,2826,9325,,9316000
271,2020/4/6,85+,8498,6363,2840,,,,,,,,,590,265,571,1528,3220,,1457000
272,2020/4/7,00_17,982,363,9,,,,,,,,,69,0,34,548,336,,10117000
273,2020/4/7,18_64,30422,12775,1232,,,,,,,,,2762,118,987,15474,10934,,36139000
274,2020/4/7,65_84,20168,15962,5285,,,,,,,,,1195,524,1171,2765,9916,,9316000
275,2020/4/7,85+,9069,6904,3107,,,,,,,,,571,267,541,1517,3468,,1457000
276,2020/4/8,00_17,1033,377,10,,,,,,,,,51,1,14,582,349,,10117000
277,2020/4/8,18_64,32965,13731,1360,,,,,,,,,2543,128,956,16879,11717,,36139000
278,2020/4/8,65_84,21285,17085,5805,,,,,,,,,1117,520,1123,2679,10466,,9316000
279,2020/4/8,85+,9670,7417,3435,,,,,,,,,601,328,513,1562,3628,,1457000
280,2020/4/9,00_17,1093,401,11,,,,,,,,,60,1,24,613,370,,10117000
281,2020/4/9,18_64,35380,14483,1490,,,,,,,,,2415,130,752,18369,12303,,36139000
282,2020/4/9,65_84,22325,18098,6269,,,,,,,,,1040,464,1013,2632,10967,,9316000
283,2020/4/9,85+,10225,7951,3716,,,,,,,,,555,281,534,1543,3856,,1457000
284,2020/4/10,00_17,1151,420,11,,,,,,,,,58,0,19,648,389,,10117000
285,2020/4/10,18_64,37465,15256,1607,,,,,,,,,2085,117,773,19532,12922,,36139000
286,2020/4/10,65_84,23184,18994,6721,,,,,,,,,859,452,896,2534,11368,,9316000
287,2020/4/10,85+,10803,8432,3997,,,,,,,,,578,281,481,1599,4033,,1457000
288,2020/4/11,00_17,1220,436,12,,,,,,,,,69,1,16,696,403,,10117000
289,2020/4/11,18_64,39265,15951,1721,,,,,,,,,1800,114,695,20509,13470,,36139000
290,2020/4/11,65_84,23953,19805,7182,,,,,,,,,769,461,811,2437,11679,,9316000
291,2020/4/11,85+,11248,8858,4285,,,,,,,,,445,288,426,1586,4151,,1457000
292,2020/4/12,00_17,1263,452,13,,,,,,,,,43,1,16,720,417,,10117000
293,2020/4/12,18_64,41053,16530,1826,,,,,,,,,1788,105,579,21590,13916,,36139000
294,2020/4/12,65_84,24636,20555,7634,,,,,,,,,683,452,750,2321,11942,,9316000
295,2020/4/12,85+,11691,9281,4584,,,,,,,,,443,299,423,1574,4255,,1457000
296,2020/4/13,00_17,1306,464,13,,,,,,,,,43,0,12,748,428,,10117000
297,2020/4/13,18_64,43189,17140,1924,,,,,,,,,2136,98,610,22964,14399,,36139000
298,2020/4/13,65_84,25409,21392,8056,,,,,,,,,773,422,837,2202,12317,,9316000
299,2020/4/13,85+,12199,9705,4869,,,,,,,,,508,285,424,1622,4373,,1457000
300,2020/4/14,00_17,1373,480,13,,,,,,,,,67,0,16,794,444,,10117000
301,2020/4/14,18_64,45432,17808,2027,,,,,,,,,2243,103,668,24378,14933,,36139000
302,2020/4/14,65_84,26172,22172,8431,,,,,,,,,763,375,780,2130,12685,,9316000
303,2020/4/14,85+,12692,10098,5161,,,,,,,,,493,292,393,1687,4456,,1457000
304,2020/4/15,00_17,1440,499,13,,,,,,,,,67,0,19,838,462,,10117000
305,2020/4/15,18_64,48218,18390,2121,,,,,,,,,2786,94,582,26383,15393,,36139000
306,2020/4/15,65_84,26998,22809,8838,,,,,,,,,826,407,637,2260,12884,,9316000
307,2020/4/15,85+,13248,10458,5442,,,,,,,,,556,281,360,1843,4518,,1457000
308,2020/4/16,00_17,1488,515,13,,,,,,,,,48,0,16,866,477,,10117000
309,2020/4/16,18_64,51060,19003,2203,,,,,,,,,2842,82,613,28409,15895,,36139000
310,2020/4/16,65_84,27846,23515,9232,,,,,,,,,848,394,706,2342,13163,,9316000
311,2020/4/16,85+,13866,10898,5720,,,,,,,,,618,278,440,1977,4659,,1457000
312,2020/4/17,00_17,1568,532,14,,,,,,,,,80,1,17,924,492,,10117000
313,2020/4/17,18_64,53651,19555,2300,,,,,,,,,2591,97,552,30263,16323,,36139000
314,2020/4/17,65_84,28646,24216,9607,,,,,,,,,800,375,701,2383,13455,,9316000
315,2020/4/17,85+,14475,11299,5989,,,,,,,,,609,269,401,2142,4771,,1457000
316,2020/4/18,00_17,1645,545,14,,,,,,,,,77,0,13,982,505,,10117000
317,2020/4/18,18_64,56523,19993,2371,,,,,,,,,2872,71,438,32492,16669,,36139000
318,2020/4/18,65_84,29339,24845,9966,,,,,,,,,693,359,629,2398,13695,,9316000
319,2020/4/18,85+,14973,11629,6265,,,,,,,,,498,276,330,2274,4810,,1457000
320,2020/4/19,00_17,1697,562,14,,,,,,,,,52,0,17,1013,521,,10117000
321,2020/4/19,18_64,58981,20462,2439,,,,,,,,,2458,68,469,34306,17048,,36139000
322,2020/4/19,65_84,29905,25502,10297,,,,,,,,,566,331,657,2266,13990,,9316000
323,2020/4/19,85+,15391,11957,6555,,,,,,,,,418,290,328,2334,4832,,1457000
