date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
12/31/2020,65_84,230230,102059,33329,303868,23028,4537,931,3,0,0,0,4309,328,1041,111726,63870,,9316000
12/31/2020,85+,90529,52492,26939,360795,19384,1888,872,0,0,0,0,1061,247,481,31570,23053,,1457000
1/1/2021,00_17,370027,3299,41,42,3,1,0,0,0,0,0,3722,0,40,340297,3100,,10117000
1/1/2021,18_64,1655669,80945,6478,394895,12585,14848,700,57,1,0,0,21578,72,1101,1456461,70612,,36139000
1/1/2021,65_84,233004,103329,33636,310454,6586,4719,182,3,0,0,0,2774,307,1270,113031,64772,,9316000
1/1/2021,85+,91324,53091,27205,365338,4543,2095,207,0,0,0,0,795,266,599,31709,23357,,1457000
1/2/2021,00_17,377432,3338,41,46,4,1,0,0,0,0,0,7405,0,39,347134,3138,,10117000
1/2/2021,18_64,1697645,82107,6544,410883,15988,17784,2936,61,4,0,0,41976,66,1162,1494277,71653,,36139000
1/2/2021,65_84,237664,104649,33962,318598,8144,5642,923,3,0,0,0,4660,326,1320,116039,65703,,9316000
1/2/2021,85+,92641,53715,27485,370394,5056,2880,785,0,0,0,0,1317,280,624,32308,23672,,1457000
1/3/2021,00_17,384269,3382,42,48,2,1,0,0,0,0,0,6837,1,44,353439,3178,,10117000
1/3/2021,18_64,1736256,83416,6623,423213,12330,20296,2512,62,1,0,0,38611,79,1309,1528821,72820,,36139000
1/3/2021,65_84,241666,105983,34284,321123,2525,6292,650,4,1,0,0,4002,322,1334,118421,66652,,9316000
1/3/2021,85+,93779,54379,27738,371821,1427,3458,578,0,0,0,0,1138,253,664,32701,24051,,1457000
1/4/2021,00_17,393465,3435,42,51,3,1,0,0,0,0,0,9196,0,53,361925,3229,,10117000
1/4/2021,18_64,1789293,84763,6707,446878,23665,26451,6155,66,4,0,0,53037,84,1347,1576723,74019,,36139000
1/4/2021,65_84,248013,107432,34650,323886,2763,7951,1659,4,0,0,0,6347,366,1449,122865,67666,,9316000
1/4/2021,85+,95911,55117,28046,373122,1301,4911,1453,0,0,0,0,2132,308,738,33943,24446,,1457000
1/5/2021,00_17,400761,3484,43,59,8,1,0,0,0,0,0,7296,1,49,368651,3275,,10117000
1/5/2021,18_64,1833847,86161,6806,491029,44151,34477,8026,71,5,0,0,44554,99,1398,1616696,75252,,36139000
1/5/2021,65_84,253634,108937,35049,332560,8674,23087,15136,4,0,0,0,5621,399,1505,126580,68700,,9316000
1/5/2021,85+,97917,55858,28370,377781,4659,26128,21217,0,0,0,0,2006,324,741,35064,24828,,1457000
1/6/2021,00_17,407292,3533,43,63,4,1,0,0,0,0,0,6531,0,49,374666,3321,,10117000
1/6/2021,18_64,1873190,87673,6898,550511,59482,44187,9710,77,6,0,0,39343,92,1512,1651717,76600,,36139000
1/6/2021,65_84,258637,110571,35427,350502,17942,50609,27522,6,2,0,0,5003,378,1634,129591,69878,,9316000
1/6/2021,85+,99672,56630,28729,387727,9946,64653,38525,0,0,0,0,1755,359,772,35922,25204,,1457000
1/7/2021,00_17,413373,3581,43,71,8,3,2,0,0,0,0,6081,0,48,380265,3367,,10117000
1/7/2021,18_64,1908601,89092,6982,631624,81113,55657,11470,81,4,0,0,35411,84,1419,1683180,77867,,36139000
1/7/2021,65_84,263465,112144,35885,416002,65500,76665,26056,8,2,0,0,4828,458,1573,132502,70918,,9316000
1/7/2021,85+,101309,57439,29078,434382,46655,101545,36892,1,1,0,0,1637,349,809,36633,25625,,1457000
1/8/2021,00_17,418758,3627,44,82,11,3,0,0,0,0,0,5385,1,46,385219,3410,,10117000
1/8/2021,18_64,1940435,90368,7092,721303,89679,67610,11953,86,5,0,0,31834,110,1276,1711464,78972,,36139000
1/8/2021,65_84,267820,113632,36310,500519,84517,96305,19640,9,1,0,0,4355,425,1488,135058,71910,,9316000
1/8/2021,85+,103115,58177,29434,496507,62125,126617,25072,1,0,0,0,1806,356,738,37572,25972,,1457000
1/9/2021,00_17,423338,3655,45,93,11,4,1,0,0,0,0,4580,1,28,389444,3435,,10117000
1/9/2021,18_64,1967554,91724,7208,796245,74942,75626,8016,94,8,0,0,27119,116,1356,1735290,80148,,36139000
1/9/2021,65_84,271214,115199,36765,572035,71516,118843,22538,11,2,0,0,3394,455,1567,136642,72948,,9316000
1/9/2021,85+,104395,58944,29793,551722,55215,156064,29447,1,0,0,0,1280,359,767,37994,26344,,1457000
1/10/2021,00_17,427421,3689,45,100,7,4,0,0,0,0,0,4083,0,34,393201,3468,,10117000
1/10/2021,18_64,1993037,92957,7308,845213,48968,85723,10097,97,3,0,0,25483,100,1233,1757720,81222,,36139000
1/10/2021,65_84,274301,116716,37198,604757,32722,133765,14922,11,0,0,0,3087,433,1517,137992,73960,,9316000
1/10/2021,85+,105435,59731,30244,574927,23205,173587,17523,1,0,0,0,1040,451,787,38172,26642,,1457000
1/11/2021,00_17,433525,3726,45,104,4,5,1,0,0,0,0,6104,0,37,398832,3503,,10117000
1/11/2021,18_64,2033056,94435,7410,914696,69483,92190,6467,100,3,0,0,40019,102,1478,1793402,82528,,36139000
1/11/2021,65_84,279451,118306,37650,629792,25035,138597,4832,13,2,0,0,5150,452,1590,141184,75022,,9316000
1/11/2021,85+,107531,60520,30697,588682,13755,177830,4243,1,0,0,0,2096,453,789,39330,26941,,1457000
1/12/2021,00_17,438800,3771,45,112,8,5,0,0,0,0,0,5275,0,45,403686,3546,,10117000
1/12/2021,18_64,2067184,95983,7527,1000073,85377,96327,4137,105,5,0,0,34128,117,1548,1823545,83885,,36139000
1/12/2021,65_84,283940,119984,38188,677460,47668,141793,3196,14,1,0,0,4489,538,1678,143674,76082,,9316000
1/12/2021,85+,109494,61383,31137,623066,34384,180726,2896,1,0,0,0,1963,440,863,40290,27323,,1457000
1/13/2021,00_17,443968,3817,45,119,7,5,0,0,0,0,0,5168,0,46,408439,3590,,10117000
1/13/2021,18_64,2098597,97407,7668,1095754,95681,99349,3022,111,6,0,0,31413,141,1424,1851290,85100,,36139000
1/13/2021,65_84,287968,121608,38716,769682,92222,143359,1566,15,1,0,0,4028,528,1624,145790,77101,,9316000
1/13/2021,85+,111103,62127,31575,676204,53138,182420,1694,1,0,0,0,1609,438,744,41040,27593,,1457000
1/14/2021,00_17,448735,3854,45,129,10,5,0,0,0,0,0,4767,0,37,412828,3625,,10117000
1/14/2021,18_64,2128065,98814,7776,1200131,104377,101558,2209,114,3,0,0,29468,108,1407,1877246,86332,,36139000
1/14/2021,65_84,291775,123087,39222,877733,108051,144280,921,16,1,0,0,3807,506,1479,147846,78003,,9316000
1/14/2021,85+,112666,62882,32054,737702,61498,182993,573,2,1,0,0,1563,479,755,41736,27833,,1457000
1/15/2021,00_17,453516,3887,45,139,10,5,0,0,0,0,0,4781,0,33,417235,3656,,10117000
1/15/2021,18_64,2155999,100037,7885,1317516,117385,103135,1577,115,1,0,0,27934,109,1223,1901962,87388,,36139000
1/15/2021,65_84,295410,124450,39745,1002623,124890,144677,397,19,3,0,0,3635,523,1363,149859,78778,,9316000
1/15/2021,85+,114150,63551,32526,811795,74093,183305,312,2,0,0,0,1484,472,669,42445,27998,,1457000
1/16/2021,00_17,457161,3937,46,148,9,5,0,0,0,0,0,3645,1,50,420569,3703,,10117000
1/16/2021,18_64,2177264,101368,7999,1411652,94136,104054,919,117,2,0,0,21265,114,1331,1920377,88541,,36139000
1/16/2021,65_84,298017,125866,40324,1110853,108230,144888,211,21,2,0,0,2607,579,1416,150864,79548,,9316000
1/16/2021,85+,115029,64320,33006,884280,72485,183457,152,2,0,0,0,879,480,769,42492,28251,,1457000
1/17/2021,00_17,460536,3964,46,156,8,5,0,0,0,0,0,3375,0,27,423676,3729,,10117000
1/17/2021,18_64,2197656,102604,8116,1475300,63648,104681,627,118,1,0,0,20392,117,1236,1938076,89602,,36139000
1/17/2021,65_84,300401,127274,40867,1160297,49444,145018,130,21,0,0,0,2384,543,1408,151669,80346,,9316000
1/17/2021,85+,115832,65072,33520,914516,30236,183487,30,2,0,0,0,803,514,752,42486,28453,,1457000
1/18/2021,00_17,465624,4001,46,161,5,5,0,0,0,0,0,5088,0,37,428364,3764,,10117000
1/18/2021,18_64,2228835,103964,8254,1558030,82730,105314,633,119,1,0,0,31179,138,1360,1965668,90759,,36139000
1/18/2021,65_84,304357,128818,41402,1201948,41651,145218,200,21,0,0,0,3956,535,1544,153799,81281,,9316000
1/18/2021,85+,117474,65842,34018,934913,20397,183635,148,2,0,0,0,1642,498,770,43241,28688,,1457000
1/19/2021,00_17,470167,4049,48,183,22,5,0,0,0,0,0,4543,2,48,432534,3808,,10117000
1/19/2021,18_64,2256166,105426,8367,1652411,94381,106130,816,123,4,0,0,27331,113,1462,1989585,92038,,36139000
